place,location,address,lat,long
King's Park,"京士柏 King's Park, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, China 中国","京士柏 King's Park, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, China 中国",22.3105718,114.1742986
Hong Kong Observatory,"香港天文台 Hong Kong Observatory, 134A, 彌敦道 Nathan Road, 官涌 Kwun Chung, 尖沙咀 Tsim Sha Tsui, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, China 中国","香港天文台 Hong Kong Observatory, 134A, 彌敦道 Nathan Road, 官涌 Kwun Chung, 尖沙咀 Tsim Sha Tsui, 油尖旺區 Yau Tsim Mong District, 九龍 Kowloon, 香港 Hong Kong, China 中国",22.30184045,114.17375656922096
Wong Chuk Hang,"黃竹坑 Wong Chuk Hang, 香葉道 Heung Yip Road, 黃竹坑 Wong Chuk Hang, 香港島 Hong Kong Island, 南區 Southern District, 香港 Hong Kong, China 中国","黃竹坑 Wong Chuk Hang, 香葉道 Heung Yip Road, 黃竹坑 Wong Chuk Hang, 香港島 Hong Kong Island, 南區 Southern District, 香港 Hong Kong, China 中国",22.2479023,114.16780646453066
Ta Kwu Ling,"打鼓嶺 Ta Kwu Ling, 北區 North District, 新界 New Territories, 香港 Hong Kong, 518026, China 中国","打鼓嶺 Ta Kwu Ling, 北區 North District, 新界 New Territories, 香港 Hong Kong, 518026, China 中国",22.5385085,114.1579921
Lau Fau Shan,"流浮山 Lau Fau Shan, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国","流浮山 Lau Fau Shan, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国",22.4673719,113.984152
Tai Po,"大埔 Tai Po, 大埔區 Tai Po District, 香港 Hong Kong, China 中国","大埔 Tai Po, 大埔區 Tai Po District, 香港 Hong Kong, China 中国",22.4494017,114.1711328
Sha Tin,"沙田 Sha Tin, 沙田區 Sha Tin District, 香港 Hong Kong, China 中国","沙田 Sha Tin, 沙田區 Sha Tin District, 香港 Hong Kong, China 中国",22.3835565,114.1899848
Tuen Mun,"屯門 Tuen Mun, 屯門區 Tuen Mun District, 香港 Hong Kong, China 中国","屯門 Tuen Mun, 屯門區 Tuen Mun District, 香港 Hong Kong, China 中国",22.3912163,113.9762817
Tseung Kwan O,"將軍澳 Tseung Kwan O, 西貢區 Sai Kung District, 香港 Hong Kong, 999077, China 中国","將軍澳 Tseung Kwan O, 西貢區 Sai Kung District, 香港 Hong Kong, 999077, China 中国",22.308785500000006,114.259633
Sai Kung,"西貢 Sai Kung, 西貢區 Sai Kung District, 香港 Hong Kong, China 中国","西貢 Sai Kung, 西貢區 Sai Kung District, 香港 Hong Kong, China 中国",22.3822489,114.2728277
Cheung Chau,"長洲 Cheung Chau, 離島區 Islands District, 新界 New Territories, 香港 Hong Kong, China 中国","長洲 Cheung Chau, 離島區 Islands District, 新界 New Territories, 香港 Hong Kong, China 中国",22.2096137,114.02963705004468
Chek Lap Kok,"赤鱲角 Chek Lap Kok, 離島區 Islands District, 新界 New Territories, 香港 Hong Kong, China 中国","赤鱲角 Chek Lap Kok, 離島區 Islands District, 新界 New Territories, 香港 Hong Kong, China 中国",22.30691315,113.91821356965299
Tsing Yi,"青衣 Tsing Yi, 葵青區 Kwai Tsing District, 新界 New Territories, 香港 Hong Kong, China 中国","青衣 Tsing Yi, 葵青區 Kwai Tsing District, 新界 New Territories, 香港 Hong Kong, China 中国",22.344419,114.09898192840107
Shek Kong,"石崗 Shek Kong, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国","石崗 Shek Kong, 元朗區 Yuen Long District, 新界 New Territories, 香港 Hong Kong, China 中国",22.4312355,114.0931244
