LINK_ID,REGION,ROAD_TYPE,node_start,eastings_start,northings_start,wgsLat_start,wgsLong_start,location_lv1_eng_start,location_lv1_chin_start,location_lv2_eng_start,location_lv2_chin_start,location_lv3_eng_start,location_lv3_chin_start,location_lv4_eng_start,location_lv4_chin_start,location_lv5_eng_start,location_lv5_chin_start,full_location_eng_start,full_location_chin_start,node_end,eastings_end,northings_end,wgsLat_end,wgsLong_end,location_lv1_eng_end,location_lv1_chin_end,location_lv2_eng_end,location_lv2_chin_end,location_lv3_eng_end,location_lv3_chin_end,location_lv4_eng_end,location_lv4_chin_end,location_lv5_eng_end,location_lv5_chin_end,full_location_eng_end,full_location_chin_end,non_col,route_lat,route_long,detailed_route_lat,detailed_route_long
3006-30069,K,URBAN ROAD,3006,834913.16,818626.797,22.306601372,114.16372552,West Kowloon,西九龍,Yau Ma Tei,油麻地,Yau Tsim Mong District,油尖旺區,Kowloon,九龍,Hong Kong,香港,West KowloonYau Ma TeiYau Tsim Mong DistrictKowloonHong Kong,香港九龍油尖旺區油麻地西九龍,30069,834823.46,818955.0809999999,22.309565904,114.16285467899999,Civil Aid Service Headquarters,民眾安全服務隊總部,,,To Wah Road,渡華路,West Kowloon,西九龍,Yau Ma Tei,油麻地,Civil Aid Service HeadquartersTo Wah RoadWest KowloonYau Ma Tei,油麻地西九龍渡華路民眾安全服務隊總部,,"[22.306601372, 22.309565904]","[114.16372552, 114.16285467899999]","[22.30663, 22.306586, 22.306657, 22.306745, 22.306841, 22.30697, 22.307036, 22.307115, 22.307468, 22.308038, 22.30851, 22.308673, 22.308762, 22.308869, 22.308869, 22.309035, 22.309141, 22.3092, 22.309277, 22.309353, 22.309413, 22.309475, 22.309514, 22.309548, 22.30956]","[114.163741, 114.163885, 114.163891, 114.163767, 114.163757, 114.163763, 114.163763, 114.163766, 114.163675, 114.163648, 114.163645, 114.163638, 114.163622, 114.163599, 114.163599, 114.163537, 114.163482, 114.163445, 114.163386, 114.163309, 114.163239, 114.163133, 114.163036, 114.162927, 114.162858]"
30069-888301,K,URBAN ROAD,30069,834823.46,818955.0809999999,22.309565904,114.16285467899999,Civil Aid Service Headquarters,民眾安全服務隊總部,,,To Wah Road,渡華路,West Kowloon,西九龍,Yau Ma Tei,油麻地,Civil Aid Service HeadquartersTo Wah RoadWest KowloonYau Ma Tei,油麻地西九龍渡華路民眾安全服務隊總部,888301,834711.437,818893.39,22.309008699,114.161767523,Yau Ma Tei Interchange,油麻地交匯處,West Kowloon,西九龍,Yau Ma Tei,油麻地,Yau Tsim Mong District,油尖旺區,Kowloon,九龍,Yau Ma Tei InterchangeWest KowloonYau Ma TeiYau Tsim Mong DistrictKowloon,九龍油尖旺區油麻地西九龍油麻地交匯處,,"[22.309565904, 22.309008699]","[114.16285467899999, 114.161767523]","[22.309561, 22.309568, 22.309576, 22.309569, 22.309546, 22.309524, 22.309483, 22.309418, 22.309338, 22.309275, 22.309124, 22.309019, 22.309005, 22.308992]","[114.162849, 114.16281, 114.162702, 114.162582, 114.162476, 114.162402, 114.162296, 114.16219, 114.162094, 114.162033, 114.161907, 114.161823, 114.161814, 114.161804]"
3010-888301,K,URBAN ROAD,3010,835020.4559999999,819072.594,22.31062727,114.16476649100001,Yau Ma Tei Interchange,油麻地交匯處,Ferry Point,渡船角,Yau Ma Tei,油麻地,Yau Tsim Mong District,油尖旺區,Kowloon,九龍,Yau Ma Tei InterchangeFerry PointYau Ma TeiYau Tsim Mong DistrictKowloon,九龍油尖旺區油麻地渡船角油麻地交匯處,888301,834711.437,818893.39,22.309008699,114.161767523,Yau Ma Tei Interchange,油麻地交匯處,West Kowloon,西九龍,Yau Ma Tei,油麻地,Yau Tsim Mong District,油尖旺區,Kowloon,九龍,Yau Ma Tei InterchangeWest KowloonYau Ma TeiYau Tsim Mong DistrictKowloon,九龍油尖旺區油麻地西九龍油麻地交匯處,,"[22.31062727, 22.309008699]","[114.16476649100001, 114.161767523]","[22.310471, 22.310398, 22.310305, 22.310141, 22.309886, 22.309641, 22.309495, 22.309389, 22.309205, 22.309012, 22.308796, 22.308689, 22.308505, 22.308159, 22.307337, 22.307162, 22.307041, 22.306847, 22.306536, 22.306536, 22.306279, 22.306391, 22.306452, 22.306465, 22.306465, 22.306745, 22.306841, 22.30697, 22.307036, 22.307115, 22.307468, 22.308038, 22.30851, 22.308673, 22.308762, 22.308869, 22.308869, 22.309035, 22.309141, 22.3092, 22.309277, 22.309353, 22.309413, 22.309475, 22.309514, 22.309548, 22.309568, 22.309576, 22.309569, 22.309546, 22.309524, 22.309483, 22.309418, 22.309338, 22.309275, 22.309124, 22.309019, 22.309005, 22.308992]","[114.164398, 114.164433, 114.164534, 114.164764, 114.164958, 114.16512, 114.165176, 114.165205, 114.165217, 114.165212, 114.165163, 114.165122, 114.165076, 114.165038, 114.165025, 114.165035, 114.165061, 114.165097, 114.165187, 114.165187, 114.164903, 114.164391, 114.164114, 114.164068, 114.164068, 114.163767, 114.163757, 114.163763, 114.163763, 114.163766, 114.163675, 114.163648, 114.163645, 114.163638, 114.163622, 114.163599, 114.163599, 114.163537, 114.163482, 114.163445, 114.163386, 114.163309, 114.163239, 114.163133, 114.163036, 114.162927, 114.16281, 114.162702, 114.162582, 114.162476, 114.162402, 114.162296, 114.16219, 114.162094, 114.162033, 114.161907, 114.161823, 114.161814, 114.161804]"
3363-3369,K,URBAN ROAD,3363,839521.209,820694.5140000002,22.325271539000006,114.20845122799999,Wang Chiu Road,宏照道,Yue Man Square,裕民坊,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Wang Chiu RoadYue Man SquareKowloon BayKowloonKwun Tong District,觀塘區九龍九龍灣裕民坊宏照道,3369,839269.8740000002,820683.627,22.325173681,114.206011656,Kai Cheung Road,啓祥道,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Hong Kong,香港,Kai Cheung RoadKowloon BayKowloonKwun Tong DistrictHong Kong,香港觀塘區九龍九龍灣啓祥道,,"[22.325271539000003, 22.325173681]","[114.20845122799999, 114.206011656]","[22.325273, 22.325292, 22.325319, 22.325371, 22.325232, 22.325198, 22.325198, 22.325442, 22.325621, 22.325893, 22.325949, 22.326006, 22.326006, 22.325957, 22.325895, 22.325895, 22.326124, 22.326291, 22.326364, 22.32648, 22.326546, 22.326605, 22.326647, 22.326647, 22.32664, 22.326633, 22.326655, 22.326659, 22.326684, 22.326719, 22.326719, 22.326622, 22.326567, 22.326145, 22.3259, 22.325613, 22.325443]","[114.208446, 114.208419, 114.208361, 114.208263, 114.206499, 114.206173, 114.206173, 114.20589, 114.205877, 114.20587, 114.205904, 114.205895, 114.205895, 114.205359, 114.204667, 114.204667, 114.204654, 114.204634, 114.204646, 114.204643, 114.20465, 114.204664, 114.204677, 114.204677, 114.204721, 114.204841, 114.205159, 114.205193, 114.20543, 114.205818, 114.205818, 114.205827, 114.205875, 114.205922, 114.205938, 114.205974, 114.205993]"
33671-3363,K,URBAN ROAD,33671,839539.3409999999,820612.792,22.324533506999998,114.208627057,Lam Hing Street,臨興街,Yue Man Square,裕民坊,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Lam Hing StreetYue Man SquareKowloon BayKowloonKwun Tong District,觀塘區九龍九龍灣裕民坊臨興街,3363,839521.209,820694.5140000002,22.325271539000006,114.20845122799999,Wang Chiu Road,宏照道,Yue Man Square,裕民坊,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Wang Chiu RoadYue Man SquareKowloon BayKowloonKwun Tong District,觀塘區九龍九龍灣裕民坊宏照道,,"[22.324533506999998, 22.325271539000003]","[114.208627057, 114.20845122799999]","[22.324475, 22.324484, 22.324534, 22.3246, 22.325022, 22.325075, 22.325174, 22.325242, 22.325268]","[114.208638, 114.208732, 114.208726, 114.208676, 114.208638, 114.2086, 114.208548, 114.208491, 114.208454]"
33681-3643,K,MAJOR ROUTE,33681,839352.89,820107.684,22.319972429,114.20681632799999,Kwun Tong Community Green Station,綠在觀塘,Kai Fuk Road,啓福道,Kwun Tong Business Area,觀塘商貿區,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong Community Green StationKai Fuk RoadKwun Tong Business AreaKowloon BayKowloon,九龍九龍灣觀塘商貿區啓福道綠在觀塘,3643,839537.6009999998,819872.588,22.317849030999998,114.208608654,Kwun Tong Bypass,觀塘繞道,Kwun Tong Business Area,觀塘商貿區,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Kwun Tong BypassKwun Tong Business AreaKowloon BayKowloonKwun Tong District,觀塘區九龍九龍灣觀塘商貿區觀塘繞道,,"[22.319972429, 22.317849030999998]","[114.20681632799999, 114.208608654]","[22.319958, 22.319292, 22.319074, 22.318949, 22.318902, 22.318854, 22.318626, 22.318525, 22.318358, 22.318205, 22.318049, 22.317946, 22.317871, 22.317861]","[114.206808, 114.207584, 114.207789, 114.207891, 114.207919, 114.20794, 114.208059, 114.208107, 114.208209, 114.208318, 114.208449, 114.208547, 114.208598, 114.208612]"
3368-88810,K,MAJOR ROUTE,3368,839344.209,820099.964,22.319902728000002,114.206732056,Kwun Tong Bypass,觀塘繞道,Kwun Tong Business Area,觀塘商貿區,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Kwun Tong BypassKwun Tong Business AreaKowloon BayKowloonKwun Tong District,觀塘區九龍九龍灣觀塘商貿區觀塘繞道,88810,839314.8659999998,820127.978,22.320155764000006,114.206447306,Kai Fuk Road,啓福道,Kwun Tong Business Area,觀塘商貿區,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Kai Fuk RoadKwun Tong Business AreaKowloon BayKowloonKwun Tong District,觀塘區九龍九龍灣觀塘商貿區啓福道,,"[22.319902728000002, 22.320155764000003]","[114.206732056, 114.206447306]","[22.3199, 22.319865, 22.319733, 22.31922, 22.318687, 22.318181, 22.318052, 22.317904, 22.317871, 22.31755, 22.317454, 22.317359, 22.317303, 22.317227, 22.317204, 22.317154, 22.317128, 22.317111, 22.31709, 22.317077, 22.317077, 22.317076, 22.317064, 22.317006, 22.317003, 22.31692, 22.316823, 22.316685, 22.316436, 22.316377, 22.315682, 22.315048, 22.314599, 22.312509, 22.311471, 22.310292, 22.30806, 22.308047, 22.307337, 22.307001, 22.306758, 22.306633, 22.306549, 22.306466, 22.306404, 22.306332, 22.306301, 22.306219, 22.306177, 22.306179, 22.306205, 22.306241, 22.306264, 22.306288, 22.306391, 22.30645, 22.306504, 22.30656, 22.306626, 22.306664, 22.306778, 22.306942, 22.307112, 22.307237, 22.307329, 22.307458, 22.307548, 22.307594, 22.307638, 22.307856, 22.308169, 22.308276, 22.308332, 22.308387, 22.308387, 22.308376, 22.308387, 22.308421, 22.308483, 22.30855, 22.308606, 22.308679, 22.308756, 22.308816, 22.308816, 22.30895, 22.308994, 22.309049, 22.309097, 22.309525, 22.310038, 22.310249, 22.311137, 22.312093, 22.312134, 22.31226, 22.313369, 22.313709, 22.313839, 22.313976, 22.314156, 22.314611, 22.315013, 22.316313, 22.316508, 22.317077, 22.317141, 22.317242, 22.317639, 22.317702, 22.317871, 22.317973, 22.318015, 22.318057, 22.318078, 22.318094, 22.318102, 22.318125, 22.31809, 22.318067, 22.317986, 22.317954, 22.317931, 22.317932, 22.317946, 22.317951, 22.317982, 22.318038, 22.318171, 22.318213, 22.318281, 22.318517, 22.318632, 22.318632, 22.318717, 22.319007, 22.319204, 22.319474, 22.319743, 22.319858, 22.319975, 22.320136]","[114.206736, 114.206766, 114.206878, 114.207329, 114.207781, 114.208227, 114.208338, 114.208506, 114.208598, 114.209046, 114.209223, 114.209435, 114.209567, 114.209836, 114.209949, 114.210144, 114.210286, 114.210399, 114.210627, 114.210804, 114.21136, 114.211499, 114.211678, 114.212043, 114.212158, 114.212393, 114.212618, 114.212865, 114.213201, 114.213273, 114.213986, 114.214585, 114.215035, 114.217088, 114.218087, 114.219092, 114.22083, 114.220895, 114.221394, 114.221633, 114.221835, 114.221961, 114.222067, 114.222189, 114.22229, 114.222471, 114.222546, 114.222846, 114.223133, 114.223339, 114.223578, 114.223812, 114.22389, 114.223959, 114.224078, 114.224123, 114.224138, 114.224147, 114.224148, 114.224114, 114.224017, 114.223882, 114.223736, 114.223625, 114.223546, 114.223425, 114.223345, 114.223289, 114.223225, 114.223014, 114.222727, 114.222634, 114.222575, 114.222467, 114.222467, 114.222386, 114.222302, 114.222181, 114.222103, 114.222054, 114.222034, 114.222026, 114.222032, 114.222055, 114.222055, 114.222035, 114.222022, 114.221999, 114.221965, 114.221605, 114.221154, 114.220965, 114.220153, 114.219324, 114.219273, 114.219126, 114.217893, 114.217502, 114.217345, 114.217148, 114.216929, 114.216414, 114.215976, 114.214538, 114.214335, 114.213689, 114.213569, 114.213445, 114.213003, 114.212929, 114.212732, 114.212569, 114.212466, 114.212341, 114.212237, 114.212104, 114.211971, 114.211872, 114.211522, 114.211228, 114.210459, 114.21021, 114.209911, 114.209657, 114.2095, 114.209461, 114.209303, 114.209104, 114.208772, 114.208704, 114.208592, 114.208295, 114.208154, 114.208154, 114.208049, 114.207735, 114.207483, 114.207231, 114.206933, 114.206796, 114.206664, 114.206437]"
33691-33671,K,URBAN ROAD,33691,839284.825,820586.955,22.32430065,114.20615659299999,Kellett School,啟歷學校,,,Lam Hing Street,臨興街,Kowloon Bay,九龍灣,Kowloon,九龍,Kellett SchoolLam Hing StreetKowloon BayKowloon,九龍九龍灣臨興街啟歷學校,33671,839539.3409999999,820612.792,22.324533506999998,114.208627057,Lam Hing Street,臨興街,Yue Man Square,裕民坊,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Lam Hing StreetYue Man SquareKowloon BayKowloonKwun Tong District,觀塘區九龍九龍灣裕民坊臨興街,,"[22.32430065, 22.324533506999998]","[114.20615659299999, 114.208627057]","[22.324253, 22.32442, 22.324474]","[114.206166, 114.208044, 114.208629]"
3369-33691,K,URBAN ROAD,3369,839269.8740000002,820683.627,22.325173681,114.206011656,Kai Cheung Road,啓祥道,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Hong Kong,香港,Kai Cheung RoadKowloon BayKowloonKwun Tong DistrictHong Kong,香港觀塘區九龍九龍灣啓祥道,33691,839284.825,820586.955,22.32430065,114.20615659299999,Kellett School,啟歷學校,,,Lam Hing Street,臨興街,Kowloon Bay,九龍灣,Kowloon,九龍,Kellett SchoolLam Hing StreetKowloon BayKowloon,九龍九龍灣臨興街啟歷學校,,"[22.325173681, 22.32430065]","[114.206011656, 114.20615659299999]","[22.325167, 22.325114, 22.325032, 22.324885, 22.324383, 22.324245, 22.324252]","[114.205975, 114.205979, 114.206015, 114.206037, 114.206095, 114.206073, 114.206157]"
3369-3370,K,URBAN ROAD,3369,839269.8740000002,820683.627,22.325173681,114.206011656,Kai Cheung Road,啓祥道,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Hong Kong,香港,Kai Cheung RoadKowloon BayKowloonKwun Tong DistrictHong Kong,香港觀塘區九龍九龍灣啓祥道,3370,839125.949,820671.968,22.325068639,114.20461464600001,Kai Cheung Road,啓祥道,Kowloon Bay,九龍灣,Kowloon,九龍,Kwun Tong District,觀塘區,Hong Kong,香港,Kai Cheung RoadKowloon BayKowloonKwun Tong DistrictHong Kong,香港觀塘區九龍九龍灣啓祥道,,"[22.325173681, 22.325068639]","[114.206011656, 114.20461464600001]","[22.325176, 22.325227, 22.32537, 22.325442, 22.325621, 22.325893, 22.325949, 22.326006, 22.326006, 22.325957, 22.325895, 22.325895, 22.326124, 22.326291, 22.326364, 22.32648, 22.326546, 22.326605, 22.326647, 22.326647, 22.32664, 22.326633, 22.326655, 22.326659, 22.326684, 22.326719, 22.326719, 22.326622, 22.326567, 22.326145, 22.3259, 22.325613, 22.325443, 22.325443, 22.325154, 22.325135, 22.325129, 22.325121, 22.325057]","[114.205975, 114.205971, 114.20596, 114.20589, 114.205877, 114.20587, 114.205904, 114.205895, 114.205895, 114.205359, 114.204667, 114.204667, 114.204654, 114.204634, 114.204646, 114.204643, 114.20465, 114.204664, 114.204677, 114.204677, 114.204721, 114.204841, 114.205159, 114.205193, 114.20543, 114.205818, 114.205818, 114.205827, 114.205875, 114.205922, 114.205938, 114.205974, 114.205993, 114.205993, 114.205773, 114.205471, 114.205394, 114.205263, 114.204621]"
